ID,Title,Description,Timezone,CurrencyCode,EventUrl,EventDateUTC,EventDateLocal,SeoDescription,PrimaryName,SecondaryName,PrimaryAct,SeoTitle,Keywords,Locale,Venue ID
9443371,New York Yankees vs Boston Red Sox [07/15/2016] Tickets on StubHub!,Boston Red Sox at New York Yankees Tickets,EST,USD,yankees-vs-red-sox-7-15-2016-9443371,2016-07-15T23:05:00+0000,2016-07-15T19:05:00-04:00,Boston Red Sox at New York Yankees,Yankees vs Red Sox,Boston Red Sox,New York Yankees,Yankees - Red Sox Tickets - 2016-7-15,"New York Yankees Boston Red Sox, Yankees Boston, Yankees vs Red Sox, New York Yankees v Boston Red Sox, July 15 Yankee Stadium, Yankee Stadium, New York Yankees vs Boston Red Sox 7/15, ticket, tickets, buy, sell",en_US,4222
ID,Title,Description,Timezone,CurrencyCode,EventUrl,EventDateUTC,EventDateLocal,SeoDescription,PrimaryName,SecondaryName,PrimaryAct,SeoTitle,Keywords,Locale,Venue ID
9443371,New York Yankees vs Boston Red Sox [07/15/2016] Tickets on StubHub!,Boston Red Sox at New York Yankees Tickets,EST,USD,yankees-vs-red-sox-7-15-2016-9443371,2016-07-15T23:05:00+0000,2016-07-15T19:05:00-04:00,Boston Red Sox at New York Yankees,Yankees vs Red Sox,Boston Red Sox,New York Yankees,Yankees - Red Sox Tickets - 2016-7-15,"New York Yankees Boston Red Sox, Yankees Boston, Yankees vs Red Sox, New York Yankees v Boston Red Sox, July 15 Yankee Stadium, Yankee Stadium, New York Yankees vs Boston Red Sox 7/15, ticket, tickets, buy, sell",en_US,4222
